iter	Passed	Remaining
806	39410	9425
807	39453	9375
808	39497	9325
809	39539	9274
810	39582	9224
811	39623	9173
812	39663	9122
813	39705	9072
814	39748	9022
815	39789	8972
816	39829	8921
817	39873	8871
818	39913	8820
819	39952	8770
820	39993	8719
821	40037	8669
822	40079	8619
823	40120	8569
824	40157	8518
825	40196	8467
826	40238	8417
827	40280	8367
828	40320	8317
829	40363	8267
830	40406	8217
831	40449	8167
832	40488	8117
833	40534	8068
834	40575	8017
835	40615	7967
836	40656	7917
837	40698	7867
838	40739	7817
839	40782	7768
840	40823	7718
841	40872	7669
842	40911	7619
843	40961	7571
844	41025	7525
845	41059	7474
846	41097	7423
847	41137	7373
848	41178	7323
849	41217	7273
850	41254	7223
851	41297	7173
852	41336	7123
853	41377	7073
854	41419	7024
855	41466	6975
856	41516	6927
857	41564	6878
858	41624	6832
859	41687	6786
860	41751	6740
861	41813	6694
862	41876	6647
863	41940	6601
864	42004	6555
865	42081	6511
866	42129	6462
867	42173	6413
868	42217	6364
869	42259	6314
870	42305	6265
871	42348	6216
872	42395	6167
873	42440	6118
874	42487	6069
875	42535	6021
876	42585	5972
877	42629	5923
878	42674	5874
879	42719	5825
880	42766	5776
881	42809	5727
882	42853	5678
883	42897	5629
884	42939	5579
885	42983	5530
886	43026	5481
887	43071	5432
888	43120	5383
889	43161	5334
890	43197	5284
891	43230	5234
892	43267	5184
893	43306	5134
894	43344	5085
895	43384	5035
896	43424	4986
897	43463	4936
898	43504	4887
899	43543	4838
900	43582	4788
901	43620	4739
902	43660	4689
903	43702	4640
904	43748	4592
905	43789	4543
906	43830	4494
907	43872	4445
908	43910	4395
909	43949	4346
910	43989	4297
911	44030	4248
912	44071	4199
913	44112	4150
914	44152	4101
915	44194	4052
916	44233	4003
917	44274	3954
918	44315	3905
919	44354	3856
920	44395	3808
921	44434	3759
922	44473	3710
923	44518	3661
924	44563	3613
925	44607	3564
926	44652	3516
927	44694	3467
928	44733	3418
929	44772	3369
930	44811	3321
931	44850	3272
932	44891	3223
933	44955	3176
934	45007	3128
935	45070	3081
936	45126	3034
937	45168	2985
938	45213	2937
939	45271	2889
940	45324	2841
941	45363	2793
942	45404	2744
943	45433	2695
